deal	ours_ms	dds_ms	ref_ms
1	28.982	28.534	29.294
2	50.081	37.264	51.549
3	234.808	131.389	235.248
4	64.280	44.889	64.828
5	44.423	46.532	43.726
6	44.706	43.650	46.081
7	97.856	101.332	98.916
8	177.645	116.294	168.130
9	24.287	18.552	24.476
10	11.796	11.499	12.186
11	78.714	62.748	74.599
12	196.544	170.355	190.101
13	80.354	79.832	78.893
14	59.120	41.947	57.960
15	32.623	28.300	32.286
16	314.139	242.453	300.701
17	52.982	71.120	46.320
18	46.856	34.467	44.999
19	13.593	9.273	13.244
20	127.820	192.920	122.086
21	93.057	51.564	80.319
22	250.690	168.288	210.878
23	47.577	38.436	45.453
24	134.172	105.695	126.135
25	61.508	78.829	58.005
26	87.530	68.884	86.643
27	114.923	110.805	111.349
28	64.131	131.194	62.822
29	27.934	16.700	30.019
30	82.203	46.261	72.584
31	259.118	279.634	246.717
32	188.100	138.243	171.307
33	92.360	90.517	86.015
34	106.547	79.789	105.252
35	30.428	21.419	31.474
36	5.643	8.027	6.232
37	322.540	293.357	292.767
38	182.654	216.479	163.924
39	32.536	22.966	33.094
40	23.303	30.475	24.185
41	52.020	68.405	51.519
42	82.128	50.147	73.668
43	68.096	76.304	68.311
44	70.932	27.356	62.290
45	88.349	130.208	83.975
46	135.645	188.579	115.446
47	83.998	107.310	80.520
48	39.567	35.259	37.066
49	132.778	99.887	124.857
50	11.024	12.451	11.196
51	73.893	39.155	70.672
52	12.438	17.288	13.127
53	90.736	51.888	83.215
54	216.814	301.594	204.144
55	86.262	101.157	84.716
56	74.475	82.310	65.897
57	156.124	132.649	149.614
58	18.034	23.406	18.143
59	221.260	374.993	195.294
60	151.037	100.561	137.938
61	55.429	31.394	51.316
62	22.100	14.002	22.469
63	297.737	313.223	266.191
64	63.787	31.583	56.629
65	27.950	15.265	26.746
66	137.899	103.567	105.480
67	123.658	161.918	114.086
68	30.909	29.668	30.338
69	92.677	69.804	82.432
70	56.956	66.427	57.482
71	68.597	58.325	66.373
72	176.155	116.463	150.230
73	142.988	155.064	127.513
