# Deals whose full 20-cell table still differs from the C++ reference in
# node count, after the fixtures in manifest.tsv all reached lock-step.
#
# 148 of 200 match exactly. Every fixture is a notrump lead-West cell, so
# nothing here has ever exercised a trump contract; that is the first place
# to look. Reproduce a row by finding the cell that differs
# (solver-bench nodes --per-cell against the reference -S1) and making a
# fixture for it.
#
# deal	c++	ours	delta
deal.1	1621185	1621168	-17
deal.6	3472576	3472566	-10
deal.7	2264669	2264656	-13
deal.8	9702544	9702686	+142
deal.14	1502284	1502272	-12
deal.22	1499796	1499778	-18
deal.23	1576692	1576677	-15
deal.40	1541882	1541885	+3
deal.47	2811867	2810682	-1185
deal.53	2525245	2525154	-91
deal.54	1371016	1375568	+4552
deal.57	1078118	1076466	-1652
deal.62	4116560	4116426	-134
deal.64	2183012	2182994	-18
deal.68	1226642	1226639	-3
deal.70	7852928	7853077	+149
deal.77	3194686	3194674	-12
deal.78	1567021	1566999	-22
deal.82	1398202	1398179	-23
deal.83	4871634	4871555	-79
deal.89	651373	651365	-8
deal.91	1296978	1296868	-110
deal.94	3366457	3366614	+157
deal.96	2440005	2440016	+11
deal.98	1973908	1973886	-22
deal.102	1217938	1217923	-15
deal.108	1409052	1409013	-39
deal.110	2613782	2613766	-16
deal.113	5891299	5891216	-83
deal.116	2142930	2142910	-20
deal.119	2564386	2564329	-57
deal.121	2841770	2841767	-3
deal.124	4082341	4082614	+273
deal.128	4759909	4759822	-87
deal.133	1404743	1404740	-3
deal.134	6096376	6096326	-50
deal.135	1148420	1148532	+112
deal.136	4031948	4031928	-20
deal.147	2613251	2613348	+97
deal.149	2553960	2553940	-20
deal.151	7224707	7224367	-340
deal.154	1207195	1207079	-116
deal.158	605777	605762	-15
deal.160	3592432	3592419	-13
deal.162	1758568	1758494	-74
deal.167	936945	936830	-115
deal.174	4825893	4825718	-175
deal.182	3857794	3857795	+1
deal.183	1612564	1612554	-10
deal.186	2947275	2947255	-20
deal.193	1781374	1781366	-8
deal.199	1896576	1896572	-4
